,text,created_at,row_nbr,source account,polarity_scores,pos,neg,neu,compound
0,Little hope ahead of polls in Mexico's Sinaloa state https://t.co/wZXI3u97zP,Fri Jun 29 23:58:03 +0000 2018,0,@BBCWorld,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.3832}",0.225,0.0,0.775,0.3832
1,"Thai cave rescue: Drones, dogs, drilling and desperation https://t.co/JIDwWzZCnS",Fri Jun 29 23:55:36 +0000 2018,1,@BBCWorld,"{'neg': 0.226, 'neu': 0.526, 'pos': 0.248, 'compound': 0.0772}",0.248,0.226,0.526,0.0772
2,The young Austrian leader sharing power with the far right https://t.co/iIxMddKz8a,Fri Jun 29 23:50:03 +0000 2018,2,@BBCWorld,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}",0.219,0.0,0.781,0.4215
3,"DR Congo: Oil drilling allowed in Virguna, Salonga parks https://t.co/5xV23utRMN",Fri Jun 29 23:47:37 +0000 2018,3,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
4,Doug Ford: Brother of notorious Rob Ford takes over Ontario https://t.co/bY7q1E4icV,Fri Jun 29 21:51:12 +0000 2018,4,@BBCWorld,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.7579}",0.0,0.419,0.581,-0.7579
5,Unknown 'hero' helps man who fell on Toronto subway tracks https://t.co/9i7nsoss06,Fri Jun 29 19:02:34 +0000 2018,5,@BBCWorld,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}",0.206,0.0,0.794,0.3818
6,Turkey arrests former opposition MP on terrorism charges https://t.co/z2mv0O5Z1j,Fri Jun 29 18:03:00 +0000 2018,6,@BBCWorld,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.8625}",0.0,0.615,0.385,-0.8625
7,Adam Sandler: Wedding Singer turns wedding crasher https://t.co/SxyzrBGiE2,Fri Jun 29 18:00:24 +0000 2018,7,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
8,Capital Gazette shooting: Remembering the victims https://t.co/Kp982XOUju,Fri Jun 29 17:29:58 +0000 2018,8,@BBCWorld,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}",0.0,0.277,0.723,-0.3182
9,How fake news fuels Nigeria's herder crisis https://t.co/JEX7i1Bi7N,Fri Jun 29 17:09:45 +0000 2018,9,@BBCWorld,"{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.802}",0.0,0.545,0.455,-0.802
10,Himmler's daughter worked for post-war German spy agency https://t.co/IIszX8JB3D,Fri Jun 29 16:47:12 +0000 2018,10,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0
